service_id,date,exception_type
21-MAR_JG-PON_0,20210527,1
21-MAR_LW-PON_0,20210527,1
21-MAR_MPON_0,20210527,1
21-MAR_MS-PON_0,20210527,1
21-MAR_NH-AON_0,20210527,1
21-MAR_NH-PON_0,20210527,1
21-MAR_RR-AON_0,20210527,1
21-MAR_RR-PON_0,20210527,1
21-MAR_WN-AON_0,20210527,1
21-MAR_WN-PON_0,20210527,1
21-MAR_DE-AON_0,20210527,1
21-MAR_LW-AON_0,20210527,1
21-MAR_AMZON_0,20210527,1
21-MAR_DE-PON_0,20210528,1
21-MAR_JG-PON_0,20210528,1
21-MAR_LW-PON_0,20210528,1
21-MAR_MPON_0,20210528,1
21-MAR_MS-PON_0,20210528,1
21-MAR_NH-AON_0,20210528,1
21-MAR_NH-PON_0,20210528,1
21-MAR_RR-AON_0,20210528,1
21-MAR_RR-PON_0,20210528,1
21-MAR_WN-AON_0,20210528,1
21-MAR_WN-PON_0,20210528,1
21-MAR_DE-AON_0,20210528,1
21-MAR_LW-AON_0,20210528,1
21-MAR_AMZON_0,20210528,1
21-MAR_AMZON_5,20210529,1
21-MAR_AMZON_6,20210530,1
21-MAR_B2-1ON_6,20210531,1
21-MAR_DE-PON_6,20210531,1
21-MAR_JG-PON_6,20210531,1
21-MAR_LW-PON_6,20210531,1
21-MAR_MPON_6,20210531,1
21-MAR_MS-PON_6,20210531,1
21-MAR_NH-AON_6,20210531,1
21-MAR_NH-PON_6,20210531,1
21-MAR_RR-AON_6,20210531,1
21-MAR_RR-PON_6,20210531,1
21-MAR_WN-AON_6,20210531,1
21-MAR_WN-PON_6,20210531,1
21-MAR_DE-AON_6,20210531,1
21-MAR_LW-AON_6,20210531,1
21-MAR_AMZON_6,20210531,1
21-MAR_DE-PON_0,20210601,1
21-MAR_JG-PON_0,20210601,1
21-MAR_LW-PON_0,20210601,1
21-MAR_MPON_0,20210601,1
21-MAR_MS-PON_0,20210601,1
21-MAR_NH-AON_0,20210601,1
21-MAR_NH-PON_0,20210601,1
21-MAR_RR-AON_0,20210601,1
21-MAR_RR-PON_0,20210601,1
21-MAR_WN-AON_0,20210601,1
21-MAR_WN-PON_0,20210601,1
21-MAR_DE-AON_0,20210601,1
21-MAR_B2-630ON_0,20210601,1
21-MAR_LW-AON_0,20210601,1
21-MAR_AMZON_0,20210601,1
21-MAR_DE-PON_0,20210602,1
21-MAR_JG-PON_0,20210602,1
21-MAR_LW-PON_0,20210602,1
21-MAR_MPON_0,20210602,1
21-MAR_MS-PON_0,20210602,1
21-MAR_NH-AON_0,20210602,1
21-MAR_NH-PON_0,20210602,1
21-MAR_RR-AON_0,20210602,1
21-MAR_RR-PON_0,20210602,1
21-MAR_WN-AON_0,20210602,1
21-MAR_WN-PON_0,20210602,1
21-MAR_DE-AON_0,20210602,1
21-MAR_LW-AON_0,20210602,1
21-MAR_AMZON_0,20210602,1
21-MAR_DE-PON_0,20210603,1
21-MAR_JG-PON_0,20210603,1
21-MAR_LW-PON_0,20210603,1
21-MAR_MPON_0,20210603,1
21-MAR_MS-PON_0,20210603,1
21-MAR_NH-AON_0,20210603,1
21-MAR_NH-PON_0,20210603,1
21-MAR_RR-AON_0,20210603,1
21-MAR_RR-PON_0,20210603,1
21-MAR_WN-AON_0,20210603,1
21-MAR_WN-PON_0,20210603,1
21-MAR_DE-AON_0,20210603,1
21-MAR_B2-630ON_0,20210603,1
21-MAR_LW-AON_0,20210603,1
21-MAR_AMZON_0,20210603,1
21-MAR_DE-PON_0,20210604,1
21-MAR_JG-PON_0,20210604,1
21-MAR_LW-PON_0,20210604,1
21-MAR_MPON_0,20210604,1
21-MAR_MS-PON_0,20210604,1
21-MAR_NH-AON_0,20210604,1
21-MAR_NH-PON_0,20210604,1
21-MAR_RR-AON_0,20210604,1
21-MAR_RR-PON_0,20210604,1
21-MAR_WN-AON_0,20210604,1
21-MAR_WN-PON_0,20210604,1
21-MAR_DE-AON_0,20210604,1
21-MAR_B2-630ON_0,20210604,1
21-MAR_LW-AON_0,20210604,1
21-MAR_AMZON_0,20210604,1
21-MAR_B2-1ON_5,20210605,1
21-MAR_AMZON_5,20210605,1
21-JUN_AMZON_0,20210606,1
21-JUN_DE-PON_0,20210607,1
21-JUN_JG-PON_0,20210607,1
21-JUN_LW-PON_0,20210607,1
21-JUN_MPON_0,20210607,1
21-JUN_MS-PON_0,20210607,1
21-JUN_NH-PON_0,20210607,1
21-JUN_RR-AON_0,20210607,1
21-JUN_RR-PON_0,20210607,1
21-JUN_WN-AON_0,20210607,1
21-JUN_WN-PON_0,20210607,1
21-JUN_DE-AON_0,20210607,1
21-JUN_LW-AON_0,20210607,1
21-JUN_AMZON_0,20210607,1
21-JUN_WA-PON_0,20210607,1
21-JUN_DE-PON_0,20210608,1
21-JUN_JG-PON_0,20210608,1
21-JUN_LW-PON_0,20210608,1
21-JUN_MPON_0,20210608,1
21-JUN_MS-PON_0,20210608,1
21-JUN_NH-PON_0,20210608,1
21-JUN_RR-AON_0,20210608,1
21-JUN_RR-PON_0,20210608,1
21-JUN_WN-AON_0,20210608,1
21-JUN_WN-PON_0,20210608,1
21-JUN_DE-AON_0,20210608,1
21-JUN_LW-AON_0,20210608,1
21-JUN_AMZON_0,20210608,1
21-JUN_WA-PON_0,20210608,1
21-MAR_SUN,20210328,1
21-MAR_WK,20210329,1
21-MAR_WK,20210330,1
21-MAR_WK,20210331,1
21-MAR_WK,20210401,1
21-MAR_WK,20210402,1
21-MAR_SAT,20210403,1
21-MAR_SUN,20210404,1
21-MAR_WK,20210405,1
21-MAR_WK,20210406,1
21-MAR_WK,20210407,1
21-MAR_WK,20210408,1
21-MAR_WK,20210409,1
21-MAR_SAT,20210410,1
21-MAR_SUN,20210411,1
21-MAR_WK,20210412,1
21-MAR_WK,20210413,1
21-MAR_WK,20210414,1
21-MAR_WK,20210415,1
21-MAR_WK,20210416,1
21-MAR_SAT,20210417,1
21-MAR_SUN,20210418,1
21-MAR_WK,20210419,1
21-MAR_WK,20210420,1
21-MAR_WK,20210421,1
21-MAR_WK,20210422,1
21-MAR_WK,20210423,1
21-MAR_SAT,20210424,1
21-MAR_SUN,20210425,1
