stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10237,10237,"Mitthoefer Rd & 38th St",,  39.826957, -85.991191,,,0,
10238,10238,"Mitthoefer Rd & 38th St",,  39.825986, -85.991150,,,0,
10239,10239,"Mitthoefer Rd & John Marshall Dr N",,  39.822659, -85.991078,,,0,
10240,10240,"Mitthoefer Rd & Park Davis Dr",,  39.820584, -85.991034,,,0,
10241,10241,"Mitthoefer Rd & Conveyor Dr",,  39.815392, -85.991022,,,0,
10242,10242,"38th St & Franklin Rd",,  39.825779, -86.025910,,,0,
10243,10243,"38th St & Harvest Ave",,  39.825847, -86.022592,,,0,
10244,10244,"38th St & Alsace Dr",,  39.825861, -86.020573,,,0,
10246,10246,"38th St & Dubarry Rd",,  39.825901, -86.016525,,,0,
10247,10247,"38th St & Shopping Center Dr-Northeastwood",,  39.825918, -86.012595,,,0,
10248,10248,"38th St & Post Rd",,  39.825957, -86.009533,,,0,
10250,10250,"38th St & Wittfield St",,  39.826029, -86.004869,,,0,
10251,10251,"38th St & Parliament Ln",,  39.826075, -86.001074,,,0,
10253,10253,"38th St & Tudor Park Dr",,  39.826173, -85.994818,,,0,
10254,10254,"Mitthoefer Rd & 30th St",,  39.812655, -85.991045,,,0,
10257,10257,"Mitthoefer Rd & Ridgefield Dr",,  39.818102, -85.991042,,,0,
10258,10258,"38th St & Franklin Rd - Walmart Market",,  39.826020, -86.025929,,,0,
10260,10260,"38th St & Delaware St",,  39.824868, -86.153032,,,0,
10261,10261,"38th St & New Jersey St",,  39.824916, -86.150016,,,0,
10262,10262,"38th St & Park Ave",,  39.824945, -86.147770,,,0,
10263,10263,"38th St & College Ave",,  39.824998, -86.144798,,,0,
10264,10264,"38th St & Guilford Ave",,  39.825029, -86.142807,,,0,
10265,10265,"38th St & Watson Rd",,  39.825300, -86.140096,,,0,
10266,10266,"38th St & Coliseum Ave",,  39.825344, -86.137416,,,0,
10267,10267,"38th St & Woodland Ave",,  39.825376, -86.135070,,,0,
10268,10268,"38th St & Fall Creek Pkwy",,  39.825396, -86.133482,,,0,
10300,10300,"38th St & Meridian St",,  39.824954, -86.158010,,,0,
10301,10301,"38th St & Rookwood Ave",,  39.824911, -86.167373,,,0,
10302,10302,"38th St & Clarendon Rd",,  39.824899, -86.171567,,,0,
10303,10303,"38th St & Michigan Rd",,  39.824761, -86.181731,,,0,
10304,10304,"38th St & Private Dr",,  39.824715, -86.183924,,,0,
10305,10305,"38th St & Knollton Rd",,  39.824610, -86.198011,,,0,
10306,10306,"Lafayette Rd & 38th St",,  39.825582, -86.236347,,,0,
10307,10307,"Lafayette Rd - 3950 N - Lafayette Sq",,  39.826928, -86.237728,,,0,
10308,10308,"Georgetown Rd - 4000 N",,  39.827175, -86.240479,,,0,
10309,10309,"Georgetown Rd & 38th St",,  39.825428, -86.240283,,,0,
10312,10312,"38th St & Georgetown Rd",,  39.824074, -86.240859,,,0,
10313,10313,"38th St & Private Dr",,  39.824047, -86.244661,,,0,
10314,10314,"38th St & Gemco Ln",,  39.824042, -86.246780,,,0,
10315,10315,"38th St & Private Dr",,  39.823989, -86.250678,,,0,
10316,10316,"38th St - 5400 W",,  39.823947, -86.253569,,,0,
10317,10317,"38th St & Moller Rd",,  39.823910, -86.257164,,,0,
10318,10318,"38th St & Bennett Dr",,  39.823864, -86.260696,,,0,
10319,10319,"38th St & Kiel Ave",,  39.823799, -86.262764,,,0,
10320,10320,"38th St & Parkwood Ct",,  39.823771, -86.264444,,,0,
10321,10321,"38th St & Lawndale Ave",,  39.823714, -86.266373,,,0,
10322,10322,"38th St & Eagle Creek Pkwy",,  39.823441, -86.282417,,,0,
10323,10323,"Eagle Creek Pkwy & Private Dr",,  39.824266, -86.283229,,,0,
10324,10324,"Eagle Creek Pkwy & Parkdale Pl",,  39.826423, -86.283301,,,0,
10325,10325,"Eagle Creek Pkwy & Eagle Highlands Way",,  39.827796, -86.283317,,,0,
10326,10326,"Eagle Creek Pkwy & Shore Terrace",,  39.829272, -86.283943,,,0,
10327,10327,"Shore Terrace - 6900 W",,  39.829879, -86.282791,,,0,
10328,10328,"Eagle Highlands Way & Private Dr",,  39.828140, -86.280525,,,0,
10329,10329,"Eagle Creek Pkwy & Eagle Highlands Way",,  39.827680, -86.283466,,,0,
10330,10330,"Eagle Creek Pkwy & Private Dr",,  39.826378, -86.283493,,,0,
10331,10331,"38th St & Shore Dr",,  39.823260, -86.281949,,,0,
10332,10332,"38th St & High School Rd",,  39.823425, -86.269204,,,0,
10333,10333,"38th St & Lawndale Ave",,  39.823504, -86.266136,,,0,
10334,10334,"38th St & Kiel Ave",,  39.823616, -86.261997,,,0,
10335,10335,"38th St - 5600 W",,  39.823675, -86.259120,,,0,
10336,10336,"38th St & Moller Rd",,  39.823730, -86.255251,,,0,
10337,10337,"38th St & Kevin Way",,  39.823796, -86.249900,,,0,
10338,10338,"38th St & Gemco Ln",,  39.823841, -86.246842,,,0,
10339,10339,"38th St & Georgetown Rd",,  39.823885, -86.239113,,,0,
10340,10340,"Lafayette Rd & 37th St",,  39.821982, -86.233045,,,0,
10341,10341,"Lafayette Rd - 3574 N",,  39.820209, -86.231325,,,0,
10342,10342,"Lafayette Rd - 3500 N",,  39.818463, -86.229606,,,0,
10349,10349,"Lafayette Rd - 3600 N",,  39.820218, -86.231151,,,0,
10350,10350,"Lafayette Rd 3750 N",,  39.822289, -86.233158,,,0,
10351,10351,"38th St & Guion Rd",,  39.823519, -86.220593,,,0,
10352,10352,"38th St & Cold Spring Rd",,  39.824377, -86.197946,,,0,
10353,10353,"38th St & Private Dr",,  39.824504, -86.184463,,,0,
10355,10355,"38th St & Clarendon Rd",,  39.824696, -86.171434,,,0,
10356,10356,"38th St & Byram Ave",,  39.824715, -86.169626,,,0,
10357,10357,"38th St & Rookwood Ave",,  39.824723, -86.167796,,,0,
10358,10358,"38th St & Cornelius Ave",,  39.824728, -86.165987,,,0,
