,stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,stop_x,stop_y
160,42.669342,0,6073,-84.533163,,,,,WBD Miller past Beechfield,0,6073,,993673.9027882329,677376.633595777
161,42.66919,0,6072,-84.532881,,,,,EBD Miller before Beechfield,0,6072,,993696.9925016391,677359.7178727345
162,42.722707,0,6071,-84.46243,,,,,SBD Hagadorn before Wilson,0,6071,,999469.9435773755,683304.8684509862
163,42.726578,0,5983,-84.612778,,,,E ST JOE HWY & CHESLEY ST,EBD St Joseph past Chesley,0,5983,,987163.0038054497,683747.6244282667
164,42.707987,0,1807,-84.55571,,,,S WASHINGTON AVE & W ROCKFORD RD,NBD Washington past Rockford R,0,1807,,991831.828240554,681673.8295451656
165,42.63309,0,1937,-84.54305,,,,N EIFERT RD & WILCOX RD,SBD Eifert past Wilcox,0,1937,,992859.4384469944,673348.4202452041
166,42.702396,0,5817,-84.342482,,,,E GRAND RIVER AVE & BURKLEY RD,WBD Grand River before Burkley Rd,0,5817,,1009292.3101134744,681053.9026754152
167,42.734152,0,2616,-84.462236,,,,N HAGADORN RD & CAHILL DR,SBD Hagadorn past Albert Ave,0,2616,,999485.9242081163,684576.9631224251
168,42.736505,0,2615,-84.462256,,,,N HAGADORN RD & LINDEN ST,SBD Hagadorn past Beech St,0,2615,,999484.3077865215,684838.4977615268
169,42.73842,0,2614,-84.462301,,,,587 N HAGADORN RD & SNYDER RD,SBD Hagadorn past Snyder Rd,0,2614,,999480.6416599922,685051.3495859413
170,42.729928,0,3805,-84.517286,,,,E KALAMAZOO ST & S FOSTER AVE,EBD Kalamazoo past Foster,0,3805,,994979.9348172626,684109.3647637374
171,42.72993,0,3804,-84.519731,,,,E KALAMAZOO ST & S HAYFORD AVE,EBD Kalamazoo past S Magnolia Av,0,3804,,994779.8068880265,684109.7428059175
172,42.721342,0,3801,-84.523769,,,,REGENT ST & WALSH ST,NBD Regent past Perkins St,0,3801,,994448.4832722467,683155.4720407039
173,42.687839,0,2736,-84.292767,,,,W GRAND RIVER AVE & McCormick,WBD Grand River past McCormick,0,2736,,1013366.7541663859,679442.9763282279
174,42.723427,0,3802,-84.52373,,,,REGENT ST & WALSH ST,NBD Regent before Malcolm X St,0,3802,,994451.8713651843,683387.2127249838
