,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location,stop_x,stop_y
78,235,0235,W Washington & S Henry (EB),This stop (#0235) is eastbound on the 301 block of W Washington Ave nearside Henry St (S),43.072456,-89.387144,MMT,CMAD,0,,3,90.0,1,W Washington,301,S Henry,598959.9684936539,734490.8741128674
79,241,0241,Monroe & S Breese (EB),This stop (#0241) is eastbound on the 1615 block of Monroe St opposite Breese Ter (S),43.066919,-89.413883,MMT,CMAD,0,,4,90.0,1,Monroe,1615,S Breese,596750.1613809736,734010.1837552888
80,243,0243,John Nolen & Rimrock (NB),This stop (#0243) is northbound on the 698 block of John Nolen Dr farside Rimrock Rd,43.047242,-89.374681,MMT,CMAD,0,,1,0.0,1,John Nolen,698,Rimrock,599800.8400903298,731630.6230397713
81,245,0245,N Randall & Engineering (NB),This stop (#0245) is northbound on the 299 block of Randall Ave (N) nearside Engineering Dr,43.072093,-89.40887,MMT,CMAD,0,,3,0.0,1,N Randall,299,Engineering,597192.7992322678,734559.2268415089
82,248,0248,W Wilson & S Carroll (WB),This stop (#0248) is westbound on the 98 block of Wilson St (W) nearside Carroll St (S),43.071891,-89.382453,MMT,CMAD,0,,3,270.0,1,W Wilson,98,S Carroll,599337.1487294934,734404.7785917341
83,251,0251,S Park & Erin (NB),This stop (#0251) is northbound on the 699 block of Park St (S) farside Erin St,43.060167,-89.40053,MMT,CMAD,0,,1,0.0,1,S Park,699,Erin,597788.6953974767,733193.987011794
84,252,0252,State & W Gorham (WB),This stop (#0252) is westbound on the 398 block of State St nearside Gorham St (W),43.07491,-89.391303,MMT,CMAD,0,,3,270.0,1,State,398,W Gorham,598638.8959745476,734783.9684120408
85,256,0256,N Mills & University (SB),This stop (#0256) is southbound on the 398 block of Mills St (N) farside University Ave,43.073051,-89.404241,MMT,CMAD,0,,1,180.0,1,N Mills,398,University,597575.3404859109,734642.354147985
86,265,0265,State & N Lake (EB),This stop (#0265) is eastbound on the 699 block of State St farside Lake St (N),43.074786,-89.396908,MMT,CMAD,0,,1,90.0,1,State,699,N Lake,598182.8032246577,734798.2108249376
87,266,0266,Fish Hatchery & S Park (SB),This stop (#0266) is southbound on the 1000 block of Fish Hatchery Rd farside Park St (S),43.056496,-89.399124,MMT,CMAD,0,,1,180.0,1,Fish Hatchery,1000,S Park,597877.8359209318,732779.5679919107
88,271,0271,Regent & S Park (EB),This stop (#0271) is eastbound on the 899 block of Regent St farside Park St (S),43.067544,-89.40049,MMT,CMAD,0,,1,90.0,1,Regent,899,S Park,597842.3680720736,734012.4433322388
89,273,0273,Regent & W Washington (EB),This stop (#0273) is eastbound on the 601 block of Regent St nearside W Washington Ave,43.067346,-89.396935,MMT,CMAD,0,,3,90.0,1,Regent,601,W Washington,598129.7927915105,733972.6902468717
90,274,0274,W Washington & N Broom (WB),This stop (#0274) is westbound on the 400 block of W Washington Ave farside Broom St (N),43.071248,-89.389243,MMT,CMAD,0,,1,270.0,1,W Washington,400,N Broom,598781.2387663869,734367.2899793051
91,288,0288,S Park & Erin (SB),This stop (#0288) is southbound on the 700 block of Park St (S) farside Erin St,43.059621,-89.400999,MMT,CMAD,0,,1,180.0,1,S Park,700,Erin,597746.8608507155,733135.7422924204
92,289,0289,W Olin & Gilson (EB),This stop (#0289) is eastbound on the 499 block of Olin Ave (W) farside Gilson St,43.053844,-89.389869,MMT,CMAD,0,,1,90.0,0,W Olin,499,Gilson,598611.6869610142,732439.0069964605
93,294,0294,N Rusk & E Rusk (SB),This stop (#0294) is southbound on the 2398 block of Rusk Ave (N) nearside Rusk Ave (E),43.039304,-89.38436,MMT,TMAD,0,,3,180.0,0,N Rusk,2398,E Rusk,598960.2401789593,730797.9535684384
94,298,0298,Babcock & Linden (SB),This stop (#0298) is southbound on the 500 block of Babcock Dr nearside Linden Dr,43.07529,-89.412894,MMT,UWIS,0,,3,180.0,1,Babcock,500,Linden,596887.8599545609,734934.1847570406
95,300,0300,Erin & S Mills (WB),This stop (#0300) is westbound on the 1098 block of Erin St nearside Mills St (S),43.059989,-89.40385,MMT,CMAD,0,,3,270.0,1,Erin,1098,S Mills,597517.7570514696,733190.8522112877
96,313,0313,W Wilson & S Bassett (EB),This stop (#0313) is eastbound on the 451 block of Wilson St (W) farside Bassett St (S),43.068418,-89.386949,MMT,CMAD,0,,1,90.0,1,W Wilson,451,S Bassett,598948.282331092,734041.7801580909
97,320,0320,Fisher & Dane (SB),This stop (#0320) is southbound on the 2098 block of Fisher St nearside Dane St,43.04312,-89.392033,MMT,CMAD,0,,3,180.0,1,Fisher,2098,Dane,598362.6864719372,731259.7377036038
98,327,0327,Regent & S Mills (EB),This stop (#0327) is eastbound on the 1099 block of Regent St farside Mills St (S),43.067598,-89.403675,MMT,CMAD,0,,1,90.0,1,Regent,1099,S Mills,597584.0165275612,734034.3763300991
99,336,0336,N Randall & Engineering (SB),This stop (#0336) is southbound on the 298 block of Randall Ave (N) farside Engineering Dr,43.072028,-89.409136,MMT,CMAD,0,,1,180.0,1,N Randall,298,Engineering,597170.7484942263,734553.3465561764
100,346,0346,W Olin & Lake (WB),This stop (#0346) is westbound on the 300 block of Olin Ave (W) farside Lake Ct,43.053996,-89.387437,MMT,CMAD,0,,1,270.0,1,W Olin,300,Lake,598810.3250932889,732443.7335165075
101,349,0349,N Breese & Regent (NB),This stop (#0349) is northbound on the 1 block of Breese Ter (N) farside Regent St,43.068092,-89.413759,MMT,CMAD,0,,1,0.0,1,N Breese,1,Regent,596768.2732125407,734139.7334940478
102,353,0353,W Badger & Fish Hatchery (EB),This stop (#0353) is eastbound on the 1121 block of Badger Rd (W) farside Fish Hatchery Rd,43.038494,-89.403362,MMT,CMAD,0,,1,90.0,1,W Badger,1121,Fish Hatchery,597410.3976916994,730803.0562394578
103,357,0357,Gilson & W Olin (NB),This stop (#0357) is northbound on the 1201 block of Gilson St nearside Olin Ave (W),43.053826,-89.390103,MMT,CMAD,0,,3,0.0,0,Gilson,1201,W Olin,598592.5515204099,732438.1780057566
104,362,0362,S Park & W Olin (SB),This stop (#0362) is southbound on the 1200 block of Park St (S) farside Olin Ave (W),43.053756,-89.396558,MMT,CMAD,0,,1,180.0,1,S Park,1200,W Olin,598067.6012713602,732462.6664724362
105,367,0367,W Olin & Lake (EB),This stop (#0367) is eastbound on the 299 block of Olin Ave (W) farside Lake Ct,43.053682,-89.386709,MMT,CMAD,0,,1,90.0,1,W Olin,299,Lake,598867.3353431869,732405.2542685725
106,375,0375,S Mills & Vilas (NB),This stop (#0375) is northbound on the 399 block of Mills St (S) farside Vilas Ave,43.063417,-89.403898,MMT,CMAD,0,,1,0.0,1,S Mills,399,Vilas,597537.3044988422,733571.5102815668
107,379,0379,John Nolen & E Olin (NB),This stop (#0379) is northbound on the 499 block of John Nolen Dr farside Olin Ave (E),43.051603,-89.377887,MMT,CMAD,0,,1,0.0,1,John Nolen,499,E Olin,599569.9900310282,732130.5507611551
108,388,0388,N Park & Spring (SB),This stop (#0388) is southbound on the 100 block of Park St (N) nearside Spring St,43.069451,-89.401168,MMT,CMAD,0,,3,180.0,1,N Park,100,Spring,597800.3298724119,734227.46428753
109,391,0391,Fish Hatchery & Carver (NB),This stop (#0391) is northbound on the 2001 block of Fish Hatchery Rd nearside Carver St,43.044438,-89.403805,MMT,CMAD,0,,3,0.0,1,Fish Hatchery,2001,Carver,597415.0492073087,731464.8903662697
110,392,0392,N Mills & Spring (SB),This stop (#0392) is southbound on the 100 block of Mills St (N) nearside Spring St,43.069711,-89.40423,MMT,CMAD,0,,3,180.0,1,N Mills,100,Spring,597553.3870833218,734271.6438446923
111,398,0398,Regent & N Randall (WB),This stop (#0398) is westbound on the 1400 block of Regent St farside Randall Ave (N),43.067877,-89.409353,MMT,CMAD,0,,1,270.0,1,Regent,1400,N Randall,597124.6990700837,734093.7808569331
112,405,0405,Fish Hatchery & Catalpa (NB),This stop (#0405) is northbound on the 2199 block of Fish Hatchery Rd farside Catalpa Rd,43.041851,-89.403818,MMT,CMAD,0,,1,0.0,1,Fish Hatchery,2199,Catalpa,597396.2986659107,731177.8714934569
113,406,0406,Regent & N Breese (WB),This stop (#0406) is westbound on the 1600 block of Regent St farside Breese Ter (N),43.067931,-89.414278,MMT,CMAD,0,,1,270.0,1,Regent,1600,N Breese,596725.0115476397,734124.4705165252
114,410,0410,Rimrock & E Rusk (SB),This stop (#0410) is southbound on the 2198 block of Rimrock Rd nearside Rusk Ave (E),43.042874,-89.377547,MMT,TMAD,0,,3,180.0,0,Rimrock,2198,E Rusk,599538.2298245697,731160.1612836048
115,418,0418,W Washington & N Bedford (WB),This stop (#0418) is westbound on the 598 block of W Washington Ave nearside Bedford St (N),43.069002,-89.392429,MMT,CMAD,0,,3,270.0,1,W Washington,598,N Bedford,598507.1238423218,734133.9471950314
116,424,0424,E Olin & Colby (WB),This stop (#0424) is westbound on the 100 block of Olin Ave (E) nearside Colby St,43.053153,-89.38376,MMT,CMAD,0,,3,270.0,1,E Olin,100,Colby,599103.3416763309,732331.8362417314
117,433,0433,Beld & Gilson (NB),This stop (#0433) is northbound on the 1601 block of Beld St nearside Gilson St,43.049727,-89.392573,MMT,CMAD,0,,3,0.0,0,Beld,1601,Gilson,598363.8901728998,731995.6351492766
118,435,0435,W Johnson & N Lake (EB),This stop (#0435) is eastbound on the 699 block of Johnson St (W) farside Lake St (N),43.071921,-89.397094,MMT,CMAD,0,,1,90.0,1,W Johnson,699,N Lake,598148.1265622631,734481.1960546717
119,438,0438,Linden & N Charter (EB),This stop (#0438) is eastbound on the 498 block of Linden Dr nearside Charter St (N),43.074985,-89.406401,MMT,UWIS,0,,3,90.0,1,Linden,498,N Charter,597413.1334022922,734867.7957154708
120,445,0445,N Mills & Spring (NB),This stop (#0445) is northbound on the 101 block of Mills St (N) farside Spring St,43.069899,-89.403921,MMT,CMAD,0,,1,0.0,1,N Mills,101,Spring,597579.7724225871,734290.9599899759
121,454,0454,N Breese & Hoyt (SB),This stop (#0454) is southbound on the 124 block of Breese Ter (N) nearside Hoyt St,43.070438,-89.414055,MMT,CMAD,0,,3,180.0,1,N Breese,124,Hoyt,596760.3085807832,734401.5624384407
122,455,0455,W Johnson & N Park (EB),This stop (#0455) is eastbound on the 899 block of Johnson St (W) farside Park St (N),43.071967,-89.400106,MMT,CMAD,0,,1,90.0,1,W Johnson,899,N Park,597903.7905953735,734501.3637358884
123,456,0456,Fish Hatchery & Carver (SB),This stop (#0456) is southbound on the 2000 block of Fish Hatchery Rd farside Carver St,43.044304,-89.404113,MMT,TMAD,0,,1,180.0,1,Fish Hatchery,2000,Carver,597389.1036896307,731451.5628124754
124,459,0459,Erin & S Mills (EB),This stop (#0459) is eastbound on the 1099 block of Erin St farside Mills St (S),43.059774,-89.403665,MMT,CMAD,0,,1,90.0,1,Erin,1099,S Mills,597531.3162075528,733166.0665833103
125,465,0465,W Olin & Colby (EB),This stop (#0465) is eastbound on the 101 block of Olin Ave (W) nearside Colby St,43.053055,-89.384217,MMT,CMAD,0,,3,90.0,1,W Olin,101,Colby,599065.5418563356,732323.2401533393
126,469,0469,W Washington & Southwest (EB),This stop (#0469) is eastbound on the 651 block of W Washington Ave adjacent Southwest Path,43.067543,-89.394121,MMT,CMAD,0,,2,90.0,1,W Washington,651,Southwest,598359.7236724074,733980.4873355422
127,470,0470,N Bassett & W Dayton (SB),This stop (#0470) is southbound on the 200 block of Bassett St (N) nearside Dayton St (W),43.071625,-89.39286,MMT,CMAD,0,,3,180.0,1,N Bassett,200,W Dayton,598490.0149917913,734427.1887923526
128,473,0473,W Washington & S Bassett (EB),This stop (#0473) is eastbound on the 499 block of W Washington Ave farside Bassett St (S),43.070228,-89.390293,MMT,CMAD,0,,1,90.0,1,W Washington,499,S Bassett,598688.9931797346,734259.3364005738
129,475,0475,S Park & Buick (NB),This stop (#0475) is northbound on the 2201 block of Park St (S) nearside Buick St,43.041625,-89.393786,MMT,CMAD,0,,3,0.0,1,S Park,2201,Buick,598210.0238013956,731102.5945954622
130,480,0480,W Gorham & N Henry (WB),This stop (#0480) is westbound on the 200 block of Gorham St (W) farside Henry St (N),43.075322,-89.391155,MMT,CMAD,0,,1,270.0,1,W Gorham,200,N Henry,598653.7275717177,734828.9515704683
131,483,0483,N Park & Spring (NB),This stop (#0483) is northbound on the 99 block of Park St (N) nearside Spring St,43.069254,-89.400712,MMT,CMAD,0,,3,0.0,1,N Park,99,Spring,597836.0234664235,734203.320666513
132,488,0488,Linden & N Charter (WB),This stop (#0488) is westbound on the 1200 block of Linden Dr farside Charter St (N),43.0752,-89.407339,MMT,UWIS,0,,1,270.0,1,Linden,1200,N Charter,597338.4202058816,734896.3537583203
